Time;Robot;Node;Idleness;Interferences
24.4;3;92;8.4;0
26.8;6;50;11.4;0
29.0;0;12;12.5;0
31.0;1;30;15.7;0
35.3;7;158;12.0;0
36.2;0;11;14.2;0
37.2;3;92;12.8;0
38.3;6;50;11.5;0
40.2;7;157;24.0;0
50.7;2;41;20.4;0
55.1;2;36;29.4;0
57.2;6;48;10.9;0
59.9;2;37;40.3;0
59.9;1;19;13.7;0
62.4;7;156;11.7;0
62.5;5;101;40.9;0
62.9;6;50;24.6;0
64.5;2;42;50.2;0
67.1;5;102;49.8;0
67.1;7;155;22.1;0
82.6;4;127;39.4;0
85.4;1;16;12.6;0
88.4;2;51;9.9;0
89.4;4;128;51.7;0
90.6;5;124;12.1;0
92.6;7;140;11.9;0
94.5;0;8;8.9;0
94.8;2;52;22.9;0
95.3;4;129;62.5;0
95.3;5;123;21.3;0
97.3;7;139;21.1;0
97.4;3;137;21.7;0
100.9;0;2;20.7;1
101.9;3;132;30.7;1
107.5;1;17;9.7;3
107.6;3;121;52.3;3
112.3;1;15;19.0;5
115.0;3;120;66.1;6
119.8;0;3;76.6;7
120.3;6;60;40.7;7
120.5;3;108;77.0;8
125.5;6;61;51.2;9
126.6;0;11;90.4;9
133.5;1;5;9.2;10
136.2;0;10;70.2;11
138.1;3;107;8.7;12
139.8;1;14;20.9;12
141.5;4;126;35.2;12
142.2;0;19;82.3;12
144.0;5;139;46.7;12
146.8;0;20;94.0;12
147.2;4;125;46.7;12
148.3;5;151;76.2;12
150.8;2;68;10.9;12
152.5;6;73;15.5;12
153.1;5;155;86.0;12
153.6;0;19;11.4;12
155.6;1;13;11.2;12
156.9;6;72;24.1;12
157.7;5;156;95.3;12
159.5;0;23;119.2;12
160.6;1;14;20.8;12
163.0;5;154;106.8;12
163.9;0;29;127.9;12
167.0;1;15;54.7;12
169.4;5;156;11.7;12
173.7;2;90;13.0;12
174.1;5;155;21.0;12
175.5;1;16;90.1;12
178.9;5;157;138.7;12
180.1;2;106;46.9;12
181.9;4;148;18.7;12
182.4;1;10;46.2;12
183.6;5;158;148.3;12
183.9;2;107;45.8;12
186.4;3;144;19.9;12
187.3;4;147;30.3;12
187.3;6;84;19.4;12
188.2;2;118;45.5;12
188.8;5;161;160.1;12
191.8;6;83;28.3;12
191.9;1;11;65.3;12
192.9;2;117;45.5;12
194.9;5;158;11.3;12
197.1;1;12;168.1;12
199.1;6;102;132.0;12
199.8;5;157;20.9;12
200.0;3;144;13.6;12
203.6;6;101;141.1;12
203.6;2;143;45.2;12
204.0;4;128;114.6;12
204.7;1;11;12.8;12
208.0;6;112;181.9;12
209.1;4;129;113.8;12
209.5;3;119;33.4;12
211.3;0;36;156.2;12
211.6;1;3;91.8;12
212.2;2;144;12.2;12
214.3;6;110;182.0;12
214.4;5;157;14.6;12
215.9;4;104;190.1;12
216.2;0;41;165.5;12
216.4;3;118;28.2;12
219.4;5;155;45.3;12
220.3;1;1;168.3;12
220.7;3;107;36.8;12
221.3;2;119;11.8;12
221.9;0;36;10.6;12
224.0;5;151;75.7;12
224.3;3;106;44.2;12
225.5;6;77;180.7;12
227.0;0;37;167.1;12
230.6;3;90;56.9;13
231.9;2;144;19.7;13
233.3;6;78;180.9;14
236.0;3;89;69.0;14
238.1;2;145;45.4;14
238.3;1;0;168.1;14
242.5;6;101;38.9;15
243.3;3;90;12.7;16
245.5;2;144;13.6;16
246.7;6;102;47.6;16
247.0;0;42;182.5;16
247.3;1;2;146.4;16
252.3;1;8;157.8;17
253.2;6;123;157.9;18
254.2;0;52;159.4;18
255.2;2;119;33.9;18
256.0;1;7;166.6;18
257.8;3;90;14.5;18
257.8;6;124;167.2;18
258.2;4;98;27.7;18
260.0;0;51;171.6;18
260.6;2;118;44.2;18
261.1;1;8;8.8;18
263.1;6;111;179.1;18
263.9;4;103;39.4;18
264.5;0;47;181.7;18
265.0;2;107;44.3;18
266.7;3;68;115.9;18
267.3;1;2;20.0;18
269.6;6;124;11.8;18
271.4;3;67;126.9;18
272.8;4;104;56.9;18
273.0;5;150;44.4;18
274.1;6;123;20.9;18
274.2;2;108;153.7;18
277.4;5;151;53.4;19
277.5;3;68;10.8;19
277.6;4;105;256.8;19
279.4;2;120;164.4;19
281.4;5;139;137.4;21
282.5;4;95;267.6;21
285.3;3;69;152.8;23
285.7;2;121;178.1;23
285.8;1;3;74.2;23
287.3;5;140;194.7;23
287.7;6;139;6.3;23
288.4;0;67;17.0;23
290.8;3;65;163.3;23
291.2;2;122;230.7;23
292.2;6;151;14.8;23
292.8;1;11;88.1;23
292.8;5;134;206.6;23
293.4;0;68;15.9;23
296.2;3;63;173.5;23
296.8;6;155;77.4;23
296.8;2;133;230.9;23
299.3;5;140;12.0;23
300.9;0;69;15.6;23
301.8;3;64;185.1;23
302.3;1;10;119.9;23
302.4;2;132;200.5;23
302.6;6;156;133.2;23
303.6;5;139;15.9;23
305.9;0;65;15.1;23
306.8;2;137;209.4;23
307.9;6;154;144.9;23
308.1;1;19;154.5;23
310.7;5;123;36.6;23
311.3;0;63;15.1;23
311.5;2;152;231.2;23
313.8;1;23;154.3;23
313.9;3;54;208.1;23
314.2;6;156;11.6;23
317.0;2;153;231.4;23
317.5;5;102;70.8;23
319.3;6;155;22.5;23
319.6;3;53;219.5;23
321.6;2;138;231.3;24
323.7;4;95;41.2;25
324.3;6;157;109.9;25
324.7;5;83;132.9;25
327.6;2;137;20.8;25
328.8;4;105;51.2;25
329.2;6;158;134.3;25
330.1;5;84;142.8;25
331.1;3;52;76.9;25
332.3;2;132;29.9;25
334.7;6;161;145.9;25
334.8;5;99;162.1;25
336.1;3;51;76.1;25
336.4;0;53;16.8;25
337.9;2;121;52.2;25
339.9;5;100;162.1;25
340.8;3;47;76.3;25
341.0;1;24;18.3;25
341.0;6;158;11.8;25
342.2;0;54;28.3;25
344.2;2;120;64.8;25
344.6;5;85;162.0;25
345.8;6;157;21.5;25
346.2;4;106;121.9;25
349.4;5;84;19.3;25
349.6;1;23;35.8;25
349.8;2;108;75.6;25
350.2;4;107;85.2;25
350.8;3;46;76.3;25
352.0;6;162;145.1;25
353.4;0;64;51.6;25
353.8;5;83;29.1;25
354.0;1;29;190.1;25
354.6;4;118;94.0;25
355.8;2;92;318.6;25
359.0;7;2;91.7;25
359.1;4;117;166.2;25
359.1;0;63;47.8;25
359.5;2;86;340.3;25
359.6;6;157;13.8;25
359.9;1;28;191.2;25
360.1;5;72;203.2;25
362.4;3;47;21.6;25
364.4;6;155;45.1;25
364.6;0;65;58.7;25
365.0;5;73;212.5;25
365.6;7;8;104.5;25
365.6;1;22;191.3;25
366.4;3;51;30.3;25
369.3;6;151;77.1;25
369.4;7;7;113.4;25
369.6;5;66;221.8;25
369.7;4;143;166.1;25
372.4;3;52;41.3;25
372.4;0;86;12.9;25
374.3;6;150;101.3;25
374.6;7;8;9.0;25
374.6;2;87;9.6;25
375.1;1;21;190.9;25
375.1;5;76;233.1;25
376.0;0;92;20.2;25
378.1;4;144;132.6;25
380.6;0;93;350.7;25
380.7;7;2;21.7;25
380.7;3;42;133.7;25
380.9;5;73;15.9;25
382.2;6;160;145.1;25
385.3;5;72;25.2;25
385.6;3;37;158.6;25
387.1;0;92;11.1;25
387.7;6;159;144.4;25
387.7;4;119;132.5;25
389.4;7;0;151.1;25
391.0;2;88;10.6;25
392.1;5;61;266.6;25
392.3;1;35;191.1;25
393.2;0;108;43.4;25
395.8;5;58;325.3;25
396.6;2;87;22.0;25
398.2;0;120;54.0;25
399.5;4;144;21.4;25
400.9;6;130;143.9;25
401.7;2;86;29.3;25
402.3;1;36;180.4;25
404.6;0;121;66.7;25
405.3;2;92;18.2;25
405.6;4;145;167.5;25
406.9;1;41;190.7;25
408.0;6;131;143.3;25
409.2;7;1;188.9;25
409.7;2;93;29.1;25
410.0;0;122;118.8;25
412.9;1;36;10.6;25
413.0;4;144;13.5;25
414.5;5;59;11.0;25
415.4;0;133;118.6;25
416.2;6;150;41.9;25
416.8;2;92;11.5;25
418.3;1;37;32.7;25
418.3;7;3;132.5;25
420.6;3;38;30.0;25
420.6;0;132;88.3;25
421.7;5;58;25.9;25
422.0;6;151;52.7;25
422.2;4;119;34.5;25
422.7;2;108;29.5;25
422.9;1;42;42.2;25
424.6;0;137;97.0;25
425.1;5;61;33.0;25
425.4;3;37;7.1;25
426.1;6;139;122.5;25
426.2;7;11;133.4;25
428.0;4;118;73.4;25
429.2;0;152;117.7;25
429.9;1;52;57.5;25
430.7;3;36;17.8;25
430.9;5;60;310.6;25
431.2;7;12;234.1;25
431.7;6;140;132.4;25
432.2;4;107;82.0;25
434.4;0;153;117.4;25
435.3;3;41;28.4;25
435.9;4;106;89.7;25
436.3;1;51;69.9;25
436.6;5;71;351.2;25
436.8;6;134;144.0;25
438.2;7;11;12.0;25
438.9;0;138;117.3;25
440.7;1;47;78.3;25
442.4;4;90;184.6;25
443.0;6;140;11.3;25
444.1;3;40;403.6;25
445.1;0;137;20.5;25
446.9;5;70;352.5;25
447.5;7;10;145.2;25
447.7;6;139;21.6;25
448.3;4;89;212.3;25
450.1;2;108;27.4;25
450.2;0;132;29.6;25
450.9;1;46;100.1;25
453.5;7;19;145.4;25
455.0;3;41;19.7;25
455.3;6;123;144.6;25
455.7;4;90;13.3;25
455.9;0;121;51.3;25
457.7;5;56;353.3;25
458.4;2;107;26.2;25
459.0;7;20;312.2;25
459.3;3;36;28.6;25
462.3;4;91;212.4;25
462.3;0;120;64.1;25
462.4;2;106;26.5;25
463.1;6;102;145.6;25
465.0;1;67;176.6;25
466.4;7;19;12.9;25
467.1;5;57;353.0;25
467.9;0;108;17.8;26
468.7;2;90;13.0;26
468.8;3;35;76.5;26
470.0;1;68;176.6;26
473.3;7;23;123.7;27
473.5;5;60;42.6;27
475.8;0;107;17.4;27
476.5;2;91;14.2;27
476.7;4;90;8.0;27
477.4;1;69;176.5;27
477.8;7;29;123.8;27
478.4;5;61;53.3;27
479.9;0;106;17.5;27
481.9;5;58;60.2;27
482.2;1;65;117.6;27
482.7;7;28;122.8;27
484.0;6;103;220.1;28
485.4;3;21;110.3;28
485.8;4;68;15.8;28
487.2;1;63;128.1;29
488.3;7;22;122.7;29
488.6;6;98;230.4;29
489.5;5;50;426.6;29
490.7;4;67;25.7;29
491.1;2;90;14.4;29
493.7;6;80;258.0;31
494.0;5;49;473.8;31
497.1;4;68;11.3;33
497.9;1;53;161.5;34
498.0;3;22;9.7;34
500.0;5;50;10.5;35
502.1;6;79;257.8;35
503.5;1;54;161.3;35
504.2;3;28;21.5;36
504.4;4;69;27.0;36
505.3;5;44;473.7;36
507.5;6;97;257.9;37
507.8;7;21;22.4;37
509.3;4;65;27.1;37
510.1;3;29;32.3;38
513.3;5;50;13.3;39
514.3;3;23;41.0;39
514.5;1;64;161.1;39
514.6;4;63;27.4;39
517.3;6;98;28.7;41
520.2;3;19;53.8;43
520.3;5;48;463.1;43
521.9;6;103;37.9;43
522.2;1;63;7.6;43
525.3;5;55;474.4;43
525.4;0;90;34.3;43
525.6;3;20;66.6;43
525.6;7;35;56.8;43
527.0;2;106;47.1;43
527.3;4;64;12.8;43
527.3;1;65;18.0;43
530.9;6;104;258.1;43
531.1;5;48;10.8;43
531.2;0;89;82.9;43
532.3;3;19;12.1;43
535.3;1;86;133.6;43
535.4;7;36;76.1;43
536.2;6;105;207.4;43
536.7;5;50;23.4;43
538.0;4;54;34.5;43
538.0;3;10;90.5;43
538.1;0;90;12.7;43
539.1;1;92;122.3;43
540.1;7;41;85.1;43
541.0;6;95;217.3;43
543.5;1;93;133.8;43
543.6;4;53;45.7;43
544.2;5;58;62.3;43
544.4;0;91;67.9;43
544.6;3;16;369.1;43
544.6;2;105;8.4;43
545.9;7;36;10.5;43
548.1;5;61;69.7;43
549.4;2;95;8.4;43
549.5;1;92;10.4;43
549.6;4;52;119.7;43
549.6;3;9;471.1;43
550.1;6;94;260.2;43
551.6;7;37;126.2;43
552.2;0;90;14.1;43
554.5;4;51;118.2;43
554.8;6;81;260.1;43
555.2;3;16;10.6;43
555.3;1;108;87.4;43
555.3;5;72;170.0;43
556.6;7;42;133.7;43
557.2;2;94;7.1;43
558.3;0;106;31.3;43
558.7;4;47;118.0;43
560.9;1;120;98.6;43
561.6;5;83;207.8;43
561.6;2;81;6.8;43
562.0;0;107;86.2;43
563.7;7;52;14.1;43
565.4;3;15;398.4;43
566.5;0;118;138.5;43
567.4;1;121;111.5;43
568.7;5;102;105.6;43
569.0;4;46;118.1;43
569.5;7;51;15.0;43
569.6;3;17;462.1;43
570.2;6;82;259.9;43
570.9;0;117;211.8;43
572.6;1;122;162.6;43
573.4;3;18;471.5;43
573.6;5;101;331.1;43
573.7;7;47;15.0;43
574.9;6;96;260.0;43
576.1;2;82;5.9;43
578.2;1;133;162.8;44
578.4;5;112;370.4;44
578.5;3;17;8.9;44
580.6;0;143;210.9;45
581.1;2;96;6.2;45
583.0;6;95;33.6;46
583.6;3;15;18.2;46
583.7;1;132;133.5;46
584.4;5;110;370.1;46
587.6;1;137;142.5;47
587.8;6;105;43.2;47
589.0;0;144;176.0;47
591.2;2;95;8.2;48
591.6;3;14;431.0;48
592.6;6;104;61.7;48
593.3;1;152;164.1;48
595.6;5;77;370.1;48
596.3;2;105;8.5;48
597.5;3;5;464.0;49
598.4;0;119;176.2;49
598.5;4;47;24.8;49
598.8;1;153;164.4;49
599.7;6;129;390.6;49
600.9;2;104;8.3;50
601.3;3;6;473.2;50
602.4;4;51;32.9;50
603.3;1;138;164.4;50
604.5;6;128;400.5;50
604.6;5;78;371.3;50
606.3;3;5;8.8;50
607.5;2;129;7.8;50
608.1;4;52;44.4;50
609.1;1;137;21.5;50
609.1;0;144;20.1;50
610.0;6;127;527.4;50
612.0;3;14;20.4;50
612.3;2;128;7.8;50
613.6;1;132;29.9;50
613.6;5;101;40.0;50
614.5;6;114;566.7;50
614.7;4;42;58.1;50
615.3;0;145;209.7;50
617.0;3;13;461.4;50
617.7;2;127;7.7;50
617.9;5;102;49.2;50
619.1;1;121;51.7;50
619.3;4;37;67.7;50
621.9;3;4;472.9;50
622.2;2;114;7.7;50
622.4;6;113;566.3;50
622.8;0;144;13.7;50
624.4;4;38;203.8;50
625.2;1;120;64.3;50
628.0;3;13;11.0;50
629.8;2;113;7.4;50
630.5;1;108;75.2;50
630.9;4;39;233.8;50
632.4;0;119;34.0;50
632.7;6;141;566.1;50
633.0;3;14;21.0;50
636.8;5;103;114.9;50
638.1;0;118;71.6;50
638.6;1;107;76.6;50
638.8;4;34;233.9;50
639.8;2;141;7.1;51
639.8;3;15;56.2;51
640.9;6;142;565.9;51
642.1;5;98;124.8;51
645.0;4;33;233.6;52
647.2;5;80;153.5;53
648.2;2;142;7.3;53
649.0;6;127;31.3;53
649.0;3;16;93.8;53
653.2;4;38;28.8;55
654.1;6;128;41.8;55
655.5;5;79;153.4;55
656.1;2;127;7.1;55
656.3;3;10;118.3;55
658.3;4;37;39.0;55
660.9;5;97;153.4;55
661.4;2;128;7.3;55
662.1;0;107;23.5;55
662.6;6;146;467.2;55
663.4;4;36;117.5;55
665.8;3;11;227.6;55
668.1;4;41;128.0;55
669.9;5;98;27.8;55
670.1;2;146;7.5;55
670.1;0;108;39.6;55
670.7;6;147;483.4;55
671.2;3;12;240.0;55
675.7;5;103;38.9;55
676.0;0;92;126.5;55
677.9;2;147;7.2;55
678.0;3;11;12.2;55
678.4;4;40;234.3;55
679.8;0;86;144.5;55
680.5;6;125;533.3;55
683.4;5;104;82.5;55
685.1;3;3;266.8;55
685.1;0;87;288.5;55
686.6;2;125;6.1;55
687.1;6;126;545.6;55
688.5;5;105;92.2;55
688.7;4;41;20.6;55
689.4;0;75;320.2;55
692.2;2;126;5.1;56
693.3;5;95;102.1;56
693.3;4;36;29.9;56
693.9;3;1;284.7;57
694.8;0;87;9.7;57
697.1;6;115;587.1;57
697.8;7;8;323.2;57
699.8;0;88;308.8;57
700.9;5;94;143.7;57
702.6;2;115;5.5;57
703.1;4;35;177.5;57
704.4;0;74;319.3;57
705.8;5;81;144.2;57
706.0;6;116;587.3;57
710.4;0;88;10.6;57
712.2;3;0;322.8;57
712.3;2;116;6.3;57
713.7;6;136;587.4;57
717.5;0;87;22.7;57
720.0;4;21;212.2;57
720.1;2;136;6.4;57
720.8;3;2;340.1;57
722.4;5;82;146.3;57
722.7;0;86;42.9;57
722.9;6;135;587.2;57
726.3;0;92;50.3;59
727.2;5;96;146.1;59
727.4;3;8;29.6;59
728.7;6;126;36.5;59
729.1;2;135;6.2;60
730.2;4;22;232.2;60
731.4;3;7;362.0;60
732.3;0;108;62.2;60
734.4;6;125;47.8;60
735.5;2;126;6.8;60
735.7;5;95;42.4;60
735.8;4;28;231.6;60
736.5;3;8;9.1;60
740.4;1;2;19.6;61
740.6;5;105;52.1;61
741.2;2;125;6.8;61
741.8;4;29;231.7;61
744.2;6;147;66.3;62
745.2;0;109;309.8;62
745.4;5;104;62.0;62
746.2;4;23;231.9;62
747.7;3;2;7.3;63
749.5;2;147;5.3;63
752.0;4;19;219.7;64
752.2;5;129;144.7;64
757.0;6;148;575.1;64
757.0;5;128;95.6;64
757.6;4;20;232.0;64
760.0;0;108;27.7;65
761.0;1;3;75.9;65
762.7;5;127;106.6;66
764.1;4;19;12.1;66
764.3;2;148;7.3;66
765.9;6;149;593.9;66
766.3;3;3;5.3;66
767.3;5;114;145.1;66
767.7;1;11;89.7;66
767.8;0;107;105.7;66
770.0;4;10;113.7;68
771.6;0;106;213.3;68
773.4;3;11;5.7;70
774.9;5;113;145.1;70
775.1;2;149;9.2;70
776.9;4;16;127.9;71
777.0;1;10;7.0;71
782.5;4;9;232.9;72
782.7;6;148;18.4;72
782.8;1;19;18.7;72
786.4;5;141;146.6;73
786.8;3;10;9.8;73
787.8;6;147;38.3;73
789.2;2;148;6.5;73
789.4;1;20;31.8;73
789.6;4;16;12.7;73
790.9;0;105;50.3;73
794.2;5;142;146.0;75
794.9;2;147;7.1;75
795.6;1;19;12.8;75
795.8;0;95;60.1;75
796.8;6;125;55.6;75
797.8;4;15;158.0;75
798.6;3;19;3.0;75
801.0;1;23;54.8;75
801.8;5;127;39.1;76
801.9;6;129;49.7;76
802.0;7;2;54.3;76
802.7;4;17;224.2;76
803.6;0;94;102.7;76
803.8;2;125;7.0;76
805.0;1;29;63.2;77
806.7;5;128;49.7;77
806.7;4;18;233.3;77
808.3;0;81;102.5;77
808.6;3;23;7.6;77
809.0;6;104;63.6;77
809.0;2;129;7.1;77
810.2;1;30;779.2;77
812.0;4;17;9.3;77
814.1;6;105;23.2;77
814.9;5;146;144.8;77
815.9;2;104;6.9;77
816.2;1;31;793.4;77
816.3;3;24;475.3;77
817.1;4;15;19.3;77
820.7;3;26;493.6;77
822.8;0;82;100.4;77
823.7;5;147;28.8;77
823.9;4;14;190.9;77
824.7;2;103;149.0;77
825.5;3;27;493.2;77
827.1;7;11;53.7;77
827.6;0;96;100.4;77
829.5;3;25;493.1;77
829.5;1;31;13.3;77
829.9;4;5;223.6;77
830.2;2;98;160.3;77
832.7;5;125;28.9;77
833.0;6;106;61.4;77
833.7;4;6;232.4;77
834.3;3;24;18.0;77
835.6;2;80;188.4;77
835.8;1;30;25.6;77
836.1;0;95;40.3;77
836.3;7;10;49.5;77
836.9;6;107;69.1;77
838.1;5;126;102.6;77
838.8;4;5;8.9;77
841.0;6;118;202.9;77
841.2;0;105;27.1;77
842.1;5;115;139.5;77
842.7;3;23;34.1;77
843.0;7;16;53.4;77
844.0;2;79;188.5;77
844.8;4;14;20.9;77
845.5;6;117;274.6;77
846.2;0;104;30.3;77
846.9;3;29;41.9;77
847.4;1;37;189.1;77
849.5;2;97;188.6;77
849.6;4;13;221.6;77
851.8;3;30;16.0;77
851.9;5;116;139.6;77
852.4;1;38;199.2;77
852.6;0;129;43.6;77
854.2;4;4;232.3;77
855.3;6;143;274.7;77
857.6;0;128;50.9;77
857.9;3;31;28.4;77
858.0;2;98;27.8;77
858.6;1;39;227.7;77
859.8;5;136;139.7;77
860.5;4;13;10.9;77
862.9;2;103;38.2;77
863.7;6;144;240.9;77
863.9;3;32;41.6;77
864.1;0;127;62.3;77
865.3;4;14;20.5;77
866.4;1;34;227.6;77
868.8;0;114;101.5;77
870.9;3;31;13.0;77
871.2;5;135;142.1;77
871.6;4;15;54.5;77
872.6;6;119;240.2;77
873.1;1;33;228.1;77
875.9;3;30;24.1;77
876.2;0;113;101.3;77
877.0;5;126;38.9;77
880.8;4;16;37.8;77
881.2;1;38;28.8;77
882.5;2;102;264.6;77
882.6;5;125;49.9;77
885.8;6;144;22.1;78
886.4;1;37;39.0;78
886.6;0;141;100.2;78
887.1;2;101;273.5;78
887.6;4;10;51.3;78
891.1;1;42;276.4;79
891.5;2;112;313.1;79
891.6;5;147;67.9;79
891.7;3;37;5.3;79
892.0;7;63;369.8;79
892.1;6;145;276.8;79
894.6;0;142;100.4;79
897.3;4;11;70.2;80
897.9;2;110;313.5;80
898.2;5;148;109.0;80
899.5;6;144;13.7;81
901.5;3;42;10.4;81
902.5;0;127;38.4;81
904.0;4;12;232.8;81
904.2;7;53;360.6;81
907.0;5;149;131.9;81
908.1;0;128;50.5;81
908.7;6;119;36.1;81
909.1;2;77;313.5;81
909.9;7;54;371.9;82
910.7;1;43;10.1;82
911.3;4;11;14.0;82
914.2;6;118;73.2;83
916.6;0;146;101.7;83
917.0;2;78;312.4;83
918.4;5;148;20.2;83
918.5;4;3;152.2;83
918.6;6;107;81.7;83
